"","x"
"1","rt : . is doing a great job! everybody loves stomata!!
 
 https://t.co/nqj…"
"2","gaz sénégalo-mauritanien : l’étude d’impact environnemental de bp au centre d’une polémique https://t.co/sfjvjushj1… https://t.co/zljjg5a2un"
"3","rt : great messages from : put your data online &; make it fair, reusable for multiple audiences, machine-readable &; li…"
"4","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"5","rt : my favourite poster : ""game of tops - trends in the #gbif community of users"". and not just because of…"
"6","<U+261D><U+FE0F>i heard a few “where’s the science” grumbles throughout this     c… https://t.co/kvcwa3okhq"
"7","rt : jorge soberón  says: ""imitate the australians! combine museum databases, obtain environmental layers, do species…"
"8","rt : great quotes from jorge soberón  about opinions around sharing biodiversity data in the 1990s. ""sharing data is…"
"9","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"10","rt : thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: you made it g…"
"11","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"12","rt : semantic traits, linked trait data &; trait databases enable us to answer the really big questions in biodiversity resear…"
"13","rt : have you discovered  yet? free online access to biodiversity literature, a total of 56 million pages! but what n…"
"14","rt : did you know that biodiversity information standards  has a wikidata entry (of course it does)? david fichtmueller…"
"15","rt : pollen, the great untapped source of primary plant data
arturo arino
  https://t.co/2czsb1f1ks"
"16","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"17","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"18","rt : my favourite poster : ""game of tops - trends in the #gbif community of users"". and not just because of…"
"19","rt : last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from herbar…"
"20","rt : my favourite poster : ""game of tops - trends in the #gbif community of users"". and not just because of…"
"21","looking forward tomorrow pm  ""si46 biodiv virtual research environments: past, present &; possible… https://t.co/nw2jipip3n"
"22","rt : jorge soberón  says: ""imitate the australians! combine museum databases, obtain environmental layers, do species…"
"23","rt : there are 250k images in : it's now the biggest data provider to . we talk about #bigdata in terms of da…"
"24","rt : great quotes from jorge soberón  about opinions around sharing biodiversity data in the 1990s. ""sharing data is…"
"25","rt : damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particularly…"
"26","rt : first, excited to hear from jorge soberón talking about the work of the mexican biodiversity agency  (a …"
"27","rt : milan chose 4 species of invasive plants that are often captured in photos. he went through  to look for observ…"
"28","rt : yvan le bras (  ) explains the motivations behind biodifairse: a go fair  implementation for biodiversit…"
"29","rt : dan stowell  (of ) on the current state of the art in computational bioacoustics. data augmentation makes for smar…"
"30","rt : thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: you made it g…"
"31"," #humanobservation    homo ingenloffa https://t.co/mqij1zkh6c https://t.co/a2omsq8dr7"
"32","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"33","rt : . newest specimen, homo ingenloffa    https://t.co/jkbudopjyw"
"34",". newest specimen, homo ingenloffa    https://t.co/jkbudopjyw"
"35","rt : michael kearney () says a theoretical perspective on functional traits will help better define &; prioritise trai…"
"36","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"37","rt : mass participation #citizenscience may deliver more records, but does it create more information?  has answers!…"
"38","rt : thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: you made it g…"
"39","rt : pass by the grote zaal, our colleague stefanie dekayzer just started her talk on the lifewatch species information backb…"
"40","rt : please also consider the gender balance on this picture! well done  ! looking forward to the #si55 session…"
"41","rt : great speakers today at the perspectives from the global south session at ! interesting and ever important pers…"
"42","rt : sarah philipps from  presenting her work from our  work. latest on the transcription of specimen lab…"
"43","rt : professor jorge soberón representing  as plenary speaker at  conference https://t.co/r2u7hndtoa"
"44","rt : .  introduces our proposal towards a trait data standard to overcome data heterogeneity and leverage open d…"
"45","rt : thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: you made it g…"
"46","rt : we propose #unconference to bridge the gap between ecological projects, museums and global data portals, the uncovered…"
"47","rt : donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem health. still chal…"
"48","rt : thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: you made it g…"
"49","rt : last talk in the trait mega symposium (3 sessions! 15 speakers!) by  on extracting functional traits from herbar…"
"50","rt : we need big teams to resolve the  biodiversity challenge.  paul hebert  https://t.co/wzsaqheeay"
"51","rt : damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particularly…"
"52","rt : tanja  of  presents the agouti platform for the management, processing and archiving of #cameratrappi…"
"53","rt : even our 8-year old is inspired by  - while waiting drew logo of conference - this is ehat happens if you take…"
"54","rt : we will like to thanks our presenters cristina from , william ulate () from  and tim robertson…"
"55","rt : my presentation slides for  talk entitled ""shaping our taxonomic legacy through openly sharing primary biodiversity…"
"56","while i have been citing dois for articles + any other objects for years, i hadn’t seen #citethedoi hashtag in acti… https://t.co/e70mfnoz5h"
"57","while  had some references to #globalwarming, primarily around #invasivespecies, i haven't seen mu… https://t.co/djpvqpnijw"
"58","thanks to all speakers and attendees of our  ss47 session on ai for biodiversity research today: y… https://t.co/x9o7s2t4vm"
"59","thank you for the mention, heimo! #plantsci  https://t.co/ymdp8ycldb"
"60","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"61","so proud of our presenters for being a part of this! #plantsci   https://t.co/h6ze70nsh7"
"62","rt : mario lasseck on augmenting training datasets for use in deep learning, augmenting audio as well as visual data to better identi…"
"63","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"64","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"65","rt : making your database #openaccess massively increases the number of users downloading, querying, engaging with &; publishi…"
"66","rt : vote pi 0301 in the  poster competition
 https://t.co/8hioxx9tin"
"67","rt : what a great turnout at our ai for biodiversity research session at  conference today. thanks, all! https://t.…"
"68","rt : ss47 advancing biodiversity research through artificial intelligence  full of attendees as expected. trainin…"
"69","rt : . argues that the fact that  can be edited by anyone means there are valuable opportunities. we as…"
"70","rt : mario lasseck on augmenting training datasets for use in deep learning, augmenting audio as well as visual data to better identi…"
"71","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"72","rt : dois for historic literature still often point people to paywalled versions of articles - even if it’s in the public dom…"
"73","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"74","rt : what a great turnout at our ai for biodiversity research session at  conference today. thanks, all! https://t.…"
"75","rt : damk? rod page's new acronym doesn't quite have the same ring as fair, but i love the sentiment behind it (particularly…"
"76","new generation will overtake the decisionmakers   #biodiversity #artenvielfalt https://t.co/kclikpewey"
"77","rt : how do we,  &;  plan to help reveal earth's actual #biodiversity through blr (<U+0001F517>https://t.co/eyzk2jzvsk) in…wey"
"78","what a great turnout at our ai for biodiversity research session at  conference today. thanks, all! https://t.co/sahmcgykxg"
"79","rt : chantal huijbers  and sarah richmond describe the attributes necessary to build a integrated biodiversity techno…"
"80","rt : mass participation #citizenscience may deliver more records, but does it create more information?  has answers!…"
"81","rt : donald hobern comes in to relieve lee belbin on globis-b and generating ebvs to track and inform on ecosystem health. still chal…"
"82"," 600 mrd?
klinkt dat niet een beetje overdreven? hoe ludiek de vergelijking ook lijkt.
#biodiversity "
"83","rt : enough said...

   #citethedoi https://t.co/5bypfhbsnp"
"84","rt : great quotes from jorge soberón  about opinions around sharing biodiversity data in the 1990s. ""sharing data is…"
"85","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  allan zirk  #citi…"
"86","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"87","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  allan zirk  #citi…"
"88","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"89","rt : wi76 towards a next generation of citizen science and crowdsourcing tools  allan zirk  #citi…"
"90","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"91","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"92","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"93","rt : great quotes from jorge soberón  about opinions around sharing biodiversity data in the 1990s. ""sharing data is…"
"94","rt : we sent an ai naturalist on a virtual bontany field trip to central london. it found &gt;31,000 relevant photos on flickr, an…"
"95","rt : which is why it is important to have bibliographic metadata and the citation graph as #opendata through places like …"
"96","rt : which is why it is important to have bibliographic metadata and the citation graph as #opendata through places like …"
"97","rt : hey, i have a poster on this topic . come visit me ! https://t.co/o0o1y5txr9"
"98","rt : se cierra la sesión de perspectivas del sur global de  con un gran panel de reflexiones. ha sido una i…"
"99","rt : #marinespecies traits in the  species information backbone. now at  leiden https://t.co…"
"100","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"101","rt : de samenstelling van nederlandse vegetaties is nu al merkbaar veranderd door #klimaatverandering, laat …"
"102","rt : #inaturalist takes its species descriptions directly from  and if a user submits an observation for a species…"
"103","rt : en  es tiempo del sur global. abre la sesión prabhakar rajagopal presentando por qué es importante hablar d…"
"104","rt : the global register of introduced and invasive species provides an open interoperable global dataset for invasive species.…"
"105","rt : speaking of #biodiversity data,herbarium #digitization &; #plant names at , here's an exemplary case study abo…"
"106","rt : how do we,  &;  plan to help reveal earth's actual #biodiversity through blr (<U+0001F517>https://t.co/eyzk2jzvsk) in…lary case study abo…"
"107","rt : three cheers to  &;  for convincing nz #inaturalist photographers to change the default licence…"
"108","rt : more #citizenscience sessions at  for me! these talks will focus on advancing the quality of diverse citiz…"
